Original Ordering,Unnamed: 0,Title,Author,Cleaned Goodreads URL,Number of Dupes
10887,126177,cinderella in skates,carly syms,20594844-cinderella-in-the-surf,2
10889,255825,cinderella steals home,carly syms,20594844-cinderella-in-the-surf,2
47649,123441,super natural cooking,heidi swanson,205997.Super_Natural_Cooking,2
47650,123425,super natural every day,heidi swanson,205997.Super_Natural_Cooking,2
15528,86999,don't make me think,steve krug,20604580-don-t-make-me-think-revisited,2
15529,33038,"don't make me think, revisited",steve krug,20604580-don-t-make-me-think-revisited,2
60812,72616,the secret diamond sisters,michelle madow,20607739-the-secret-diamond-sisters,2
60960,98172,the secrets of magic,michelle madow,20607739-the-secret-diamond-sisters,2
54920,355020,the guest cat,takashi hiraide,20612938-the-guest-cat,2
54921,353300,the guest cat by takashi hiraide,takashi hiraide,20612938-the-guest-cat,2
19336,10788,fish,stephen c. lundin,206309.Fish_,2
19341,120641,fish!,stephen c. lundin,206309.Fish_,2
10540,378565,childhood's end,arthur c. clarke,20632932-childhood-s-end,2
10541,11595,childhood’s end,arthur c. clarke,20632932-childhood-s-end,2
22932,24546,he loves me to death,sonovia alexander,20640308-he-loves-me-to-death,2
22933,24545,he loves me to death 2,sonovia alexander,20640308-he-loves-me-to-death,2
52509,180089,the defendant's father,john ellsworth,20642528-the-defendants,2
52510,129435,the defendants,john ellsworth,20642528-the-defendants,2
26871,3930,is everyone hanging out without me?,mindy kaling,20645522-is-everyone-hanging-out-without-me-and-other-concerns,2
26872,27270,is everyone hanging out without me? [and other concerns],mindy kaling,20645522-is-everyone-hanging-out-without-me-and-other-concerns,2
35389,27225,nantucket sisters,nancy thayer,20647739-nantucket-sisters,2
35390,166104,nantucket sisters / the guest cottage,nancy thayer,20647739-nantucket-sisters,2
39389,195324,"players, bumps and cocktail sausages",natasha preston,20662005-players-bumps-and-cocktail-sausages,2
39390,341243,"players, bumps and cocktail sausages by natasha preston",natasha preston,20662005-players-bumps-and-cocktail-sausages,2
33924,58138,molly's game,molly bloom,20670791-molly-s-game,2
33927,288997,molly’s game,molly bloom,20670791-molly-s-game,2
70171,207592,worth the chance,vi keeland,20739590-worth-the-chance,2
70176,3646,worth the fight,vi keeland,20739590-worth-the-chance,2
55723,263664,the iliad & the odyssey,homer,20817415-the-iliad-and-the-odyssey,2
55724,81444,the iliad / the odyssey,homer,20817415-the-iliad-and-the-odyssey,2
29054,236604,la dama de las camelias,alexandre dumas fils,20819825-la-dama-de-las-camelias,2
29055,307727,la dama de las camelias [the lady of the camellias],alexandre dumas fils,20819825-la-dama-de-las-camelias,2
28428,7640,king arthur and her knights,k.m. shea,20836394-king-arthur-and-her-knights,2
28433,7619,king arthurs and her knights,k.m. shea,20836394-king-arthur-and-her-knights,2
62071,302252,the supremes at earl's all-you-can-eat,edward kelsey moore,20877739-the-supremes-at-earl-s-all-you-can-eat,2
62072,302251,the supremes sing the happy heartache blues,edward kelsey moore,20877739-the-supremes-at-earl-s-all-you-can-eat,2
57530,160484,the man who knew too much,g.k. chesterton,2090603.The_Man_Who_Was_Thursday,2
57551,25386,the man who was thursday,g.k. chesterton,2090603.The_Man_Who_Was_Thursday,2
12468,29153,crucial conversations,kerry patterson,20918568-crucial-conversations,2
12469,131284,crucial conversations tools for talking when stakes are high,kerry patterson,20918568-crucial-conversations,2
19064,20576,finding my forever,heidi mclaughlin,20927332-finding-my-way,2
19067,20575,finding my way,heidi mclaughlin,20927332-finding-my-way,2
11092,188233,clarity book three,loretta lost,20932319-clarity-book-two,2
11093,188191,clarity book two,loretta lost,20932319-clarity-book-two,2
43769,132061,seducing my guardian,katee robert,20944667-seducing-mr-right,2
43770,398520,seducing my guardian bonus content,katee robert,20944667-seducing-mr-right,2
42966,378610,sand part 3,hugh howey,20947277-sand-part-5,2
42967,378612,sand part 5,hugh howey,20947277-sand-part-5,2
7594,399747,blades of destiny,terah edun,20948304-blades-of-magic,2
7595,385043,blades of magic,terah edun,20948304-blades-of-magic,2
52765,180206,the divergent series,veronica roth,20957429-the-divergent-library,2
52766,112471,the divergent series 2-book collection,veronica roth,20957429-the-divergent-library,2
48990,376197,the 100 most pointless arguments in the world,alexander armstrong,20995270-the-100-most-pointless-arguments-in-the-world-solved,2
48991,376312,the 100 most pointless things in the world,alexander armstrong,20995270-the-100-most-pointless-arguments-in-the-world-solved,2
2639,270345,absolute planetary book one,warren ellis,209967.Absolute_Planetary_Book_One,2
2640,270314,absolute planetary book two,warren ellis,209967.Absolute_Planetary_Book_One,2
29935,82922,leaders eat last,simon sinek,21032982-leaders-eat-last,2
29936,131265,leaders eat last deluxe,simon sinek,21032982-leaders-eat-last,2
2837,94329,adrian mole,sue townsend,2104216.Adrian_Mole,2
2838,270380,adrian mole and the weapons of mass destruction,sue townsend,2104216.Adrian_Mole,2
47251,27575,streams of silver,r.a. salvatore,21091207-streams-of-silver,2
47252,118491,streams of silver - the icewind dale trilogy #2 of 3,r.a. salvatore,21091207-streams-of-silver,2
4467,188273,angelbound,christina bauer,21178801-angelbound,2
4468,393048,angelbound origins box set,christina bauer,21178801-angelbound,2
29984,21324,leave it to psmith,p.g. wodehouse,2128964.Leave_It_to_Psmith,2
29985,99238,leave it to psmith / the code of the woosters / pigs have wings,p.g. wodehouse,2128964.Leave_It_to_Psmith,2
53811,145904,the first law trilogy,joe abercrombie,21399772-the-first-law,2
53812,214411,the first law trilogy boxed set,joe abercrombie,21399772-the-first-law,2
9650,14245,capital in the twenty first century,thomas piketty,21400363-capital-in-the-twenty-first-century,2
9651,142916,capital in the twenty-first century,thomas piketty,21400363-capital-in-the-twenty-first-century,2
39078,289172,"phantom thief jeanne, vol. 1",arina tanemura,21411995-phantom-thief-jeanne-vol-5,2
39079,289167,"phantom thief jeanne, vol. 2",arina tanemura,21411995-phantom-thief-jeanne-vol-5,2
58006,55382,the mistletoe inn,richard paul evans,21412317-the-mistletoe-promise,2
58008,70422,the mistletoe secret,richard paul evans,21412317-the-mistletoe-promise,2
