Unnamed: 0,Title,Author,Cleaned Goodreads URL
129316,لوكاندة بير الوطاويط,أحمد مراد,18721152
4663,لون الماء,james mcbride,12546851
4505,ليالي ألف ليلة,naguib mahfouz,6610274
53911,ليتني امرأة عادية,هنوف الجاسر,18721152
236578,ليتني لم ارك,اسامة الفضل,18721152
226100,ليتها تقرأ,خالد الباتلي,18721152
10385,ليس للحرب وجه أنثوي,svetlana alexievich,29499480
233452,ليطمئن عقلي,أحمد خيري العمري,18721152
53874,ليطمئن قلبي,أدهم شرقاوي,18721152
4521,ليلة الدخلة,محمد سيد رشوان,18721152
109352,ليلة العشق والدم,إبراهيم عبد المجيد,18721152
233473,ليلة سقوط بغداد,أحمد خيري العمري,18721152
334989,ليلة ماطرة,osamah m. al muslim,24693639
202972,ليلى والمجنون,صلاح عبد الصبور,18721152
158274,ليليات,عبد الإله بلقزيز,18721152
191274,لیدی ال,romain gary,5713956
322251,ما تبقى من الياسمين,لينداء عبد الرحمن راضي عبيد,18721152
352266,ما تيسر من سيرة الخايفين,إسراء مقيدم,18721152
167207,ما فعله العيان بالميت,بلال فضل,18721152
214214,ما لا نبوح به,ساندرا سراج,18721152
203660,ما معنى أن تكون وحيداً,فهد العودة,18721152
203027,ما معنى أن تكون وحيدًا؟,فهد العودة,18721152
4563,ما وراء الشتاء,isabel allende,17417913
392202,مائة من عظماء أمة الإسلام غيروا مجرى التاريخ,جهاد الترباني,18721152
4629,ماتيلدا,roald dahl,27392547
194125,ماجراهای ناگوار,lemony snicket,17830606
216713,مادام بوواری,gustave flaubert,15740242
350587,مادر,maxim gorky,17930058
191141,مادربزرگت رو از این‌جا ببر!,david sedaris,10805327
10388,مادونا صاحبة معطف الفرو,sabahattin ali,34944878
190026,ماذا أصابك يا وطن؟,فاروق جويدة,18721152
4472,ماذا حدث للمصريين؟,جلال أمين,18721152
4476,ماذا علمتني الحياة؟,جلال أمين,18721152
144141,ماذا يقول الكتاب المقدس عن محمد صلى الله عليه وسلم,ahmed deedat,11853906
373561,مارش رادتسکی,joseph roth,26069253
153580,مارون,بلقیس سلیمانی,18721152
129347,ماريمو,ندى طلال,18721152
345295,مالاكان,حسن الحلبي,18721152
24390,مالك,محمود بكري,18721152
270008,مالم يخبرني به أبي عن الحياة,كريم الشاذلي,18721152
191270,مالون می‌میرد,samuel beckett,4779243
191271,مالوی,samuel beckett,4779243
146071,ماهی سیاه کوچولو,samad behrangi,2329740._
325421,مبادئ الرسم,محي الدين طالو,18721152
298992,مبادئ في الفن والعمارة,شيرين إحسان شيرزاد,18721152
350601,مبانی تاریخ پارتیان,کلاوس شیپمان,18721152
269983,متاهات الوهم,youssef ziedan,9717473
340852,متاهة مشاعر,نهى طلبه,18721152
153655,مترجم دردها,jhumpa lahiri,33650980
156252,متون هرمس,tim freke,12199811--
275828,مثالب الولادة,emil m. cioran,29233281
129339,مثل إيكاروس,أحمد خالد توفيق,18721152
146095,مثل خون در رگ‌های من,احمد شاملو,18721152
345289,مثلث الرعب,شريف شوقي,18721152
54804,مثلًا,عمرو حسن,18721152
4515,مجلة توك توك,توك توك,18721152
4870,مجموعة رسائل الإمام الشهيد حسن البنا,حسن البنا,18721152
167211,محال,youssef ziedan,9717473
156234,محاکمه,franz kafka,1503020._
191278,محاکمه ی سقراط,plato,23521072
205775,محتويات سور القرآن الكريم,أحمد بن أحمد بن محمد عب الطويل,18721152
202658,محطة الرمل,ahmed salama,18664908
10210,محمد علي قصة حياتي,muhammad ali,17256549
4912,محمد(صلى الله عليه و سلم) أعظم الخالدين,michael h. hart,6293949
104209,مخالفات تقع فيها النساء,محمود المصري,18721152
270001,مختارات أمل دنقل,أمل دنقل,18721152
4775,مختارات من القصة القصيرة,محمد البساطي,18721152
85750,مختارات من شعر فاروق جويدة,فاروق جويدة,18721152
