,description
23,haunting powerful story female friendship secret washington boardinghouse mccarthy era washington everyone keep briarwood house heel female boardinghouse heart nation capital secret hide behind white picket fence lovely mysterious widow grace march move attic draw oddball collection neighbor unlikely friendship poised english beauty fliss whose facade perfect wife mother cover gaping inner wound police officer daughter nora entangled shadowy gangster frustrated baseball star bea whose career ended along woman baseball league wwii poisonous gung arlene thrown mccarthy red scare grace weekly attic room dinner party window brewed sun tea become healing balm life hide terrible secret shocking act violence tear apart house briar club woman must decide true enemy midst
24,two woman separated decade continent united mysterious family heirloom discover second chance love sweeping new york time summer wife new england three year ago single mother mallory dunne received telephone call every parent dread ten year old son sam airlifted summer camp acute poisoning toxic death cap mushroom leaving fighting life searching donor kidney give son chance normal life mallory forced confront two harrowing secret past mother adoption infamous irish orphanage consuming summer romance fourteen year earlier childhood best friend monk adam one world beloved singer songwriter fairy tale cut short devastating betrayal cairo suffering tragedy beyond comprehension war hungarian refugee hannah ainsworth forged respectable new life marriage wealthy british diplomat coveted posting glamorous cairo fateful encounter enigmatic manager hotel bristling spy lead passionate affair reawaken hannah longing everything lost revolution simmer egyptian street pregnant hannah find snared game intrigue two men act sacrifice echo generation timeless bittersweet husband lover take unforgettable journey heartbreak redemption revolutionary fire midcentury egypt moneyed beach contemporary new england acclaimed beatriz williams poignant beautifully voiced deeply human character entangled morally complex issue privilege class female experience inside world brought shimmeringly life
25,young woman win role lifetime film legendary heroine real drama behind scene sumptuous historical epic mexican gothic hollywood every actress want play salome star making role big budget movie legendary woman whose story inspired artist since ancient time film mercurial director cast vera larios unknown mexican ingenue lead role quickly becomes talk town vera also becomes object envy nancy hartley bit player whose career stalled anything win fame belief richly deserves two actress determined make top golden age hollywood city overflowing gossip scandal intrigue make sizzling combination tale three woman also story princess salome consumed desire fiery prophet foretells doom stepfather herod woman torn decree duty yearning heart curtain come tear tragedy aplenty sexy technicolor saga
26,booker prize finalist island missing tree enchanting new tale three character living along two river shadow one greatest epic poem time ancient city nineveh bank river tigris king ashurbanipal mesopotamia erudite ruthless built great library would crumble end reign ruin however emerged poem epic gilgamesh would infuse existence two river bind together three life london arthur born beside stinking sewage filled river thames abusive alcoholic father mentally ill mother arthur chance escaping destitution brilliant memory gift earns spot apprentice leading publisher arthur world open far beyond slum one particular catch interest nineveh remains turkey narin ten year old yazidi girl diagnosed rare disorder soon cause deaf happens grandmother determined baptize sacred iraqi temple rising presence isi destruction family ancestral land along tigris narin running time london newly divorced zaleekah hydrologist move houseboat thames escape husband orphaned raised wealthy uncle zaleekah made decision take life one month curious homeland change everything dazzling feat storytelling river sky entwines outsider single drop water drop remanifests across century source life harbinger death river tigris thames transcend history transcend fate water remembers human forget
27,wronged wife go toe toe cheating husband poll hilarious uplifting doozy bad day beverly diamond catch husband larry compromising position secretary suburban wife soon two young kid degree financial support beat louse game larry run maryland senatorial campaign incumbent candidate projected win younger underdog opponent michael landau beverly pluck political savvy sheer drive push michael campaign successful new direction even already campaign manager less pleased inserted race bev persuade michael modernize pay attention woman issue learn dress properly maybe show larry much underestimated make dream come true process
28,beloved critically acclaimed new york time come spectacularly moving intense secrecy misunderstanding love story eilis lacey complex enigmatic heroine brooklyn tóibín popular work twenty year later eilis lacey irish married tony fiorello plumber one four italian american brother live neighboring house cul sac lindenhurst long island wife child tony parent huge extended family life work eats play together spring eilis forty two teenage child one rely still new country though tie ireland remain stronger hold new land home returned decade one day tony job eilis home office accounting irishman come door asking name tell wife pregnant tony child baby born raise instead deposit eilis doorstep eilis refuse response stunning news make tóibín riveting long island longing unfulfilled even unrecognized silence eilis life thunderous dangerous one deft tóibín giving language gorgeous story woman alone marriage deepest bond rekindles return place people left behind way living loving thought lost
29,ruth reichl take adventure food art fashion paris dazzling heartfelt novelstella reached oyster tipped head tossed back cool slippery flavor briny like diving ocean oyster thought life estranged mother dy stella left unusual one way plane ticket note paris stella hardly cut adventure childhood trauma kept confined strict routine comfort zone bos encourages take time stella resigns honoring mother last wish alone foreign city stella fall old habit living cautiously frugally stumble across vintage store try fabulous dior dress shopkeeper insists dress meant stella first time life stella something impulsive buy dress together embark adventure first iconic brasserie le deux magots stella taste first oyster meet octogenarian art collector decides take wing jules introduces veritable paris literary art culinary world stella begin understand might mean live larger life week many decadent meal stella end living tumbleweed famed bookstore shakespeare company uncovers hundred year old mystery manet painting discovers passion food may connected past feast sens testament living deliciously taking chance finding true home
30,história recorda grandes feitos humanidade mantendo anonimato pessoas que tornam possíveis entres doi mare ilumina vidas três personagens admiráveis que entregaram com sacrifício paixão construção milagre engenharia que mudou mundo século canal panamá ada bunting tem apenas dezasseis ano quando chega panamá como clandestina sozinha sem recursos procura emprego que lhe permita ganhar dinheiro para pagar cirurgia que irmã precisa desesperadamente sua sorte vai ser ditada pelo acaso ver rapaz desmaiado rua ada única pessoa socorrê omar jovem local que decide trabalhar construção canal sua infância foi protegida solitária ele encontra neste trabalho possibilidade tornar independente conhecer pessoas ma para seu pai francisco pescador revoltado com interferência estrangeiros seu país nada mais perturbador que ver filho juntar lhes cientista john oswald vem longe movido por uma missão erradicar malária ma tudo fica suspenso quando sua mulher marian adoece dia john testemunha ato bravura compaixão ada contrata imediato para cuidar marian esta decisão fatídica põe marcha uma história arrebatadora ambição lealdade sacrifício
31,never late new beginning cusp turning eighty newly retired pharmacist augusta stern adrift relocates rallentando spring active senior community southern florida unexpectedly cross path irving rivkin delivery boy father old pharmacy man broke heart sixty year earlier teenager growing brooklyn augusta role model father solomon stern trusted owner local pharmacy neighborhood expert every ailment augusta mother dy great aunt esther move augusta help drawn esther curious method healer esther offer solomon customer advice unconventional remedy ranging homemade chicken soup mysterious array powder potion augusta prepares pharmacy college torn loyalty father fascination great aunt navigating budding complicated relationship irving desperate clarity impulsively us esther potent elixir disastrous consequence disillusioned alone augusta vow reject esther enchantment forever sixty year later confronted irving augusta still haunted mistake past happened year ago plan spectacularly wrong irving ever truly love simply playing part augusta reclaim magic youth late
32,alternative cover found malayan mother becomes unlikely spy invading japanese force wwii shocking consequence rain upon community family malaya cecily alcantara family terrible danger fifteen year old son abel disappeared youngest daughter jasmin confined basement prevent pressed service comfort station eldest daughter jujube work tea house frequented drunk japanese soldier becomes angrier day cecily know two thing fault family must never learn truth decade prior cecily desperate housewife low level bureaucrat british colonized malaya chance meeting charismatic general fuijwara lured life espionage pursuing dream asia asian instead cecily helped usher even brutal occupation japanese ten year later war reach apex action caught family brink destruction anything save
